SessionID,TreatmentNumber,Table,Period,Subject,ClientNumber,LastClientNumber,Group,Profit,TotalProfit,Participate,LeaveStage,EVAlgorithm,PrefAlgorithm,AlgorithmChoice,ProlificID,Captcha5,Consent,BotCheck2,BotCheck1,BotCheck1x,BotCheck1y,Delegate,Option,StartTimeOfExperiment,TimeOKWelcomeOK,TimeOKCaptcha1OK,TimeOKOutOK,TimeContinueOverview1OK,TimeConfirmOverview2OK,TimeOKOut2OK,BotCheck1attempt,BotWarning,TimeOKBotCheck2OK,TimeOKOut3OK,TimeContinueInstructionsPart1aOK,TimeContinueInstructionsPart1bOK,TimeContinueInstructionsPart1cOK,CompQ205,CompQ10,CompQ3,auxPage,TimeNextComprehensionQsOK,TimeBackComprehensionQsOK,TimeContinueComprehensionQsOK,Part1CQsPassedOnAttempt,CompQ3a,CompQ205a,CompQ10a,TimeOKComprehensionQsReplayOK,TimeNextComprehensionQsReplayOK,TimeBackComprehensionQsReplayOK,Screen,Warning,i,OptionsetID,OrderNumber,Up,Confident,TimeOKPart1OK,TimeNextPart1OK,ConfidentPart1,SatisfiedPart1,TimeOKInstructionsPart2aOK,TimeContinueInstructionsPart2bOK,TimeContinueInstructionsPart2cOK,TimeContinueInstructionsPart2dOK,CompQ1,CompQ2,CompQ1b,CompQ0,TimeNextComprehensionQsP2OK,TimeBackComprehensionQsP2OK,TimeContinueComprehensionQsP2OK,Part2CQsPassedOnAttempt,CompQ1a,CompQ2a,CompQ1ba,CompQ0a,TimeNextComprehensionQsP2ReplayOK,TimeBackComprehensionQsP2ReplayOK,TimeContinueComprehensionQsP2ReplayOK,TimeContinueIntroPart2OK,NthDecision,TimedOutDelegationChoice,TimedOutOptionChoice,SatisfactionRating,l,aux_switch1,DelegateA[1],DelegateA[2],DelegateA[3],DelegateA[4],DelegateA[5],DelegateA[6],DelegateA[7],DelegateA[8],TimedOutOptionChoiceA[1],TimedOutOptionChoiceA[2],TimedOutOptionChoiceA[3],TimedOutOptionChoiceA[4],TimedOutOptionChoiceA[5],TimedOutOptionChoiceA[6],TimedOutOptionChoiceA[7],TimedOutOptionChoiceA[8],OptionsetIDA[1],OptionsetIDA[2],OptionsetIDA[3],OptionsetIDA[4],OptionsetIDA[5],OptionsetIDA[6],OptionsetIDA[7],OptionsetIDA[8],OptionA[1],OptionA[2],OptionA[3],OptionA[4],OptionA[5],OptionA[6],OptionA[7],OptionA[8],TimedOutOptionChocie,auxSwitch,TimeContinuePart2OK,TimeOKPart2OK,DelegateHyp10,TimeNextHypothetic10OK,ProbOfBadComputerChoices,ProbOfAbsurdComputerChoices,ComputerRiskTaking,TimeNextReasonsForHypDelegationChoiceOK,DontTrust,BetterJob,HowExactly,MoreInfo,Responsibility4Choice,Responsibility4Outcome,DislikeRelyingOn,Reactance2Analysis,PerformanceCuriosity,Tedious,Other,OtherText,TimeNextReasonsForHypDelegationChoice2OK,RiskTaking,FinMarketExperience,FinanciallyResponsible,AIXperience,TimeNextQaire1OK,Female,Age,Education,HHIncome,TimeNextQaire2OK,Reliable,AIUsageInStudy,TimeNextQaire3OK,AIWasUsed4,TimeNextQaire3aOK,Manx,TimeNextQaire4FALSEOK,RandomPeriod,RelevantPayoff,Feedback,TimeProceedTHANKYOUOK,TotalSecondsInExperiment
260206_1528,3,subjects,1,1,1,0,1,0,0,1,0,1,0,0,62b4403257f7d42730f83394,5,1,2,-1,48.3199339207048,0.00549450549450548,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,1,99999,99999,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,2,1,10,99999,99999,-99,8,99999,99999,99999,99999,1,2,1,0,99999,0,99999,1,-99,-99,-99,-99,0,0,0,99999,9,1,0,-99,18,-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,4,6,7,2,5,3,6,6,8,5,4,7,8,1,-99,99999,99999,0,99999,8,6,9,99999,1,1,0,0,1,0,0,0,0,0,1,"I analytically quickly analysed and trusted my own judgement, and the more risk averse likely scenarios.",99999,2,10,2,9,99999,0,41,4,55,99999,7,0,99999,,0,,0,4,0,Interesting experiment. I enjoyed the psychological decision making. ,99999,0
260206_1528,5,subjects,1,1,2,0,1,0,0,1,0,1,0,0,66acd6fce13998efa02007a6,5,1,2,-1,50.7701480263158,-0.0377038043478261,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,2,1,99999,0,99999,2,3,205,10,99999,99999,0,0,-99,9,0,2,1,7,99999,99999,-99,9,99999,99999,99999,99999,1,2,1,0,99999,0,99999,1,-99,-99,-99,-99,0,0,0,99999,9,1,0,-99,18,-99,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,7,2,8,5,4,3,6,1,2,5,8,8,5,2,5,3,1,0,99999,99999,1,99999,4,0,7,99999,0,0,0,0,0,0,0,0,0,0,1,I felt that with the limited time to make decisions the computer is better suited to calculate the best option to select. ,99999,9,8,10,5,99999,0,23,4,45,99999,7,0,99999,,0,,0,1,525,,99999,0
260206_1528,7,subjects,1,1,3,0,1,0,0,1,0,1,0,0,66eb295e917ab5b37e00f625,5,1,2,-1,50.6380072840791,-0.0167597765363128,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,2,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,1,1,4,99999,99999,-99,8,99999,99999,99999,99999,1,1,8,0,99999,0,99999,0,1,2,8,0,99999,0,99999,99999,9,1,0,-99,18,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,4,1,8,2,7,2,5,5,6,6,6,7,1,1,-99,99999,99999,0,99999,8,4,9,99999,1,1,0,1,0,0,0,0,0,0,0,,99999,1,1,6,5,99999,0,56,2,55,99999,7,0,99999,,0,,0,7,255,,99999,0
260206_1528,9,subjects,1,1,4,0,1,0,0,1,0,0,1,0,56ab6fd869b24700065cbdbd,5,1,2,-1,52.443281938326,0.00549450549450548,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,1,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,1,1,7,99999,99999,-99,8,99999,99999,99999,99999,1,2,1,0,99999,0,99999,1,-99,-99,-99,-99,0,0,0,99999,9,1,0,-99,18,-99,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,8,3,6,5,1,2,4,4,4,6,5,8,6,7,4,1,-99,99999,99999,1,99999,3,0,4,99999,0,0,0,0,0,0,0,0,0,0,1,not enough time given to fully anaylse data myself,99999,2,1,3,3,99999,0,57,2,15,99999,7,0,99999,,0,,0,2,390,,99999,0
260206_1528,11,subjects,1,1,5,0,1,0,0,1,0,0,1,0,5ebd31a3dc638f1875840598,5,1,2,-1,48.9898292625343,-0.010207908740942,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,2,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,2,1,7,99999,99999,-99,10,99999,99999,99999,99999,1,0,1,0,99999,0,99999,0,-99,-99,1,0,99999,0,99999,99999,9,1,0,-99,18,-99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,6,1,5,2,7,3,2,8,6,4,7,4,1,5,1,-99,99999,99999,0,99999,1,2,10,99999,0,0,0,1,1,0,0,0,1,0,0,,99999,6,0,5,10,99999,1,27,3,5,99999,7,0,99999,,0,,0,5,0,no,99999,0
260206_1528,13,subjects,1,1,6,0,1,0,0,1,0,0,1,0,6310a5c786d2abda637997c0,5,1,2,-1,51.6739480379579,-0.0100355709300322,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,1,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,2,0,6,99999,99999,-99,5,99999,99999,99999,99999,1,2,1,0,99999,0,99999,1,-99,-99,-99,-99,0,0,0,99999,9,1,0,-99,18,-99,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,3,1,5,7,4,4,5,6,2,4,5,6,5,1,-99,99999,99999,0,99999,6,1,4,99999,0,1,0,0,1,0,0,0,1,0,0,,99999,6,6,10,9,99999,0,44,4,15,99999,7,0,99999,,0,,0,5,225,,99999,0
260206_1528,15,subjects,1,1,7,0,1,0,0,1,0,1,0,0,612f350052a72eaeac5b9703,5,1,2,-1,52.9424504950495,-0.0273972602739726,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,2,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,1,1,3,99999,99999,-99,7,99999,99999,99999,99999,0,1,8,0,99999,0,99999,0,1,2,8,0,99999,0,99999,99999,9,1,0,-99,18,-99,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,5,2,3,7,6,8,5,3,8,1,6,4,5,4,1,-99,99999,99999,0,99999,4,0,5,99999,0,1,0,0,1,0,0,0,0,0,0,,99999,1,1,10,5,99999,1,70,3,35,99999,7,0,99999,,0,,0,2,525,Fun study,99999,0
260206_1528,17,subjects,1,1,8,0,1,0,0,1,0,0,1,0,5f0dca1b95f13600097e1317,5,1,2,-1,48.8614317428234,-0.0103092783505155,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,1,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,1,1,5,99999,99999,-99,7,99999,99999,99999,99999,1,2,1,0,99999,0,99999,1,-99,-99,-99,-99,0,0,0,99999,9,1,0,-99,18,-99,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,5,7,3,2,1,8,4,5,8,6,2,7,6,4,8,1,-99,99999,99999,0,99999,5,1,1,99999,1,1,0,1,0,0,0,0,0,0,0,,99999,7,9,10,8,99999,0,48,3,65,99999,7,0,99999,,0,,0,6,225,,99999,0
260206_1528,19,subjects,1,1,9,0,1,0,0,1,0,0,1,0,5ef91b4a9d934269f7a2d09a,5,1,2,-1,51.8728956228956,-0.0136269623378538,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,2,99999,99999,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,1,0,4,99999,99999,-99,7,99999,99999,99999,99999,1,1,1,0,99999,0,99999,0,1,0,8,5,99999,0,99999,99999,9,1,0,-99,18,-99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,6,7,1,5,3,4,1,7,1,4,6,5,4,1,1,-99,99999,99999,0,99999,4,3,5,99999,0,1,0,0,0,0,0,0,0,0,0,,99999,8,3,2,7,99999,0,45,4,85,99999,7,0,99999,,0,,0,8,0,n/a,99999,0
260206_1528,21,subjects,1,1,10,0,1,0,0,1,0,1,0,0,670be097fae6e39ea154f7df,5,1,2,-1,51.239977543897,-0.019719970703125,-1,-1,0,99999,99999,0,99999,99999,0,1,0,99999,0,99999,99999,99999,205,10,3,2,99999,0,99999,1,-99,-99,-99,0,0,0,0,-99,9,0,2,0,9,99999,99999,-99,8,99999,99999,99999,99999,1,1,8,0,99999,0,99999,0,1,2,8,0,99999,0,99999,99999,9,1,0,-99,18,-99,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,3,6,7,1,8,5,5,2,6,5,4,5,1,8,1,-99,99999,99999,0,99999,2,1,3,99999,0,0,0,0,1,0,0,0,0,0,0,,99999,7,7,9,2,99999,1,41,5,55,99999,7,0,99999,,0,,0,8,235,,99999,0
