variable,type,non_missing,unique_values,values_summary,description
SessionID,character,260,1,top: 260206_1528,Session identifier.
TreatmentNumber,integer,260,250,"min=3, max=553",Treatment index from z-Tree session/treatment table.
Table,character,260,1,top: subjects,z-Tree source table name (subjects).
Period,integer,260,1,"min=1, max=1","z-Tree pre-defined, not used"
Subject,integer,260,1,"min=1, max=1","z-Tree pre-defined, not used"
ClientNumber,integer,260,250,"min=1, max=276",z-Tree client number.
LastClientNumber,integer,260,1,"min=0, max=0",Last known client number in session.
Group,integer,260,1,"min=1, max=1","z-Tree pre-defined, not used"
Profit,integer,260,1,"min=0, max=0","z-Tree pre-defined, not used"
TotalProfit,integer,260,1,"min=0, max=0","z-Tree pre-defined, not used"
Participate,integer,260,1,"min=1, max=1",Auxiliary variable for treatment flow.
LeaveStage,integer,260,2,"min=0, max=1",Auxiliary variable for treatment flow.
EVAlgorithm,integer,260,2,"min=0, max=1",Treatment flag: 1 = EV-maximizing algorithm; 0 = preference-based algorithm.
PrefAlgorithm,integer,260,2,"min=0, max=1",Treatment flag: 1 = preference-based algorithm; 0 = EV-maximizing algorithm.
AlgorithmChoice,integer,260,1,"min=0, max=0",Not used. Created for a potential follow-up treatment.
ProlificID,character,260,250,Deleted.,Participant identifier from Prolific.
Captcha5,integer,260,3,"min=3, max=7",Input for AI/Bot check.
Consent,integer,260,2,"min=-1, max=1",Consent given (1 = yes).
BotCheck2,integer,260,2,"min=-1, max=2",Input for AI/Bot check.
BotCheck1,integer,260,1,"min=-1, max=-1",Input for AI/Bot check (not used).
BotCheck1x,numeric,260,224,"min=-1, max=57.5675675675676",Auxiliary Variable on where the screen was clicked (not used).
BotCheck1y,numeric,260,207,"min=-1, max=0.0462184873949579",Auxiliary Variable on where the screen was clicked (not used).
Delegate,integer,260,1,"min=-1, max=-1","Delegation choice on current decision screen (hence, shows the choice in the final task)."
Option,integer,260,1,"min=-1, max=-1","Index of chosen option on current decision screen (s.a., shows choice in final task)."
StartTimeOfExperiment,integer,260,1,"min=0, max=0",Timestamp/event time when experiment starts (not to be used).
TimeOKWelcomeOK,integer,260,1,"min=99999, max=99999",Timestamp/event-time variable for pressing continue/next/ok in a specific stage/screen.
