"key","title","author","journal","year"
"Kim2026","Beyond algorithm aversion: The impact of psychological readiness on algorithmic advice","Hyoseok Kim","Computers in Human Behavior","2026"
"Sun2026","Does transparency matter when an AI system meets performance expectations? An experiment with an online dating site","Yuan Sun and Mengqi (Maggie) Liao and S. Shyam Sundar and Joseph B. Walther","Computers in Human Behavior","2026"
"KIM2026108824","Beyond algorithm aversion: The impact of psychological readiness on algorithmic advice","Hyoseok Kim","Computers in Human Behavior","2026"
"SUN2026108875","Does transparency matter when an AI system meets performance expectations? An experiment with an online dating site","Yuan Sun and Mengqi (Maggie) Liao and S. Shyam Sundar and Joseph B. Walther","Computers in Human Behavior","2026"
"Ivanova-Stenzel2025Delegating","Delegating in the Age of AI: Preferences for Decision Autonomy","Radosveta Ivanova-Stenzel and Michel Tolksdorf",NA,"2025"
"Ivanova-Stenzel2025","Delegating in the Age of AI: Preferences for Decision Autonomy","Radosveta Ivanova-Stenzel and Michel Tolksdorf",NA,"2025"
"Mahmud2025","Human-Robo-advisor collaboration in decision-making: Evidence from a multiphase mixed methods experimental study","Hasan Mahmud and Najmul Islam and Satish Krishnan","Decision Support Systems","2025"
"Ferraz2025","Trust in the machine: How contextual factors and personality traits shape algorithm aversion and collaboration","Vinícius Ferraz and Leon Houf and Thomas Pitz and Christiane Schwieren and Jörn Sickmann","Computers in Human Behavior Reports","2025"
"Yang2025","Unveiling users’ algorithm trust: The role of task objectivity, time pressure, and cognitive load","Ruoxin Yang and Sisheng Li and Yawei Qi and Jiali Liu and Qinghua He and Haichao Zhao","Computers in Human Behavior Reports","2025"
"Miazek2025","When AI is fairer than humans: The role of egocentrism in moral and fairness judgments of AI and human decisions","Katarzyna Miazek and Konrad Bocian","Computers in Human Behavior Reports","2025"
"Ismagilova2025","Ain’t blaming you: Delegation of financial decisions to humans and algorithms","Zilia Ismagilova and Matteo Ploner","Computers in Human Behavior: Artificial Humans","2025"
"Heimstad2025","Machine heuristic in algorithm aversion: Perceived creativity and effort of output created by or with artificial intelligence","Sigurd Birk Heimstad and Anders Hauge Wien and Tarje Gaustad","Computers in Human Behavior: Artificial Humans","2025"
"Schreibelmayr2025","Determinants of self-reported and behavioral trust in an AI advisor within a cooperative problem-solving game","Simon Schreibelmayr and Martina Mara","Computers in Human Behavior: Artificial Humans","2025"
"MAHMUD2025114541","Human-Robo-advisor collaboration in decision-making: Evidence from a multiphase mixed methods experimental study","Hasan Mahmud and Najmul Islam and Satish Krishnan","Decision Support Systems","2025"
"FERRAZ2025100578","Trust in the machine: How contextual factors and personality traits shape algorithm aversion and collaboration","Vinícius Ferraz and Leon Houf and Thomas Pitz and Christiane Schwieren and Jörn Sickmann","Computers in Human Behavior Reports","2025"
"YANG2025100667","Unveiling users’ algorithm trust: The role of task objectivity, time pressure, and cognitive load","Ruoxin Yang and Sisheng Li and Yawei Qi and Jiali Liu and Qinghua He and Haichao Zhao","Computers in Human Behavior Reports","2025"
"MIAZEK2025100719","When AI is fairer than humans: The role of egocentrism in moral and fairness judgments of AI and human decisions","Katarzyna Miazek and Konrad Bocian","Computers in Human Behavior Reports","2025"
"ISMAGILOVA2025100147","Ain’t blaming you: Delegation of financial decisions to humans and algorithms","Zilia Ismagilova and Matteo Ploner","Computers in Human Behavior: Artificial Humans","2025"
"HEIMSTAD2025100190","Machine heuristic in algorithm aversion: Perceived creativity and effort of output created by or with artificial intelligence","Sigurd Birk Heimstad and Anders Hauge Wien and Tarje Gaustad","Computers in Human Behavior: Artificial Humans","2025"
"SCHREIBELMAYR2025100235","Determinants of self-reported and behavioral trust in an AI advisor within a cooperative problem-solving game","Simon Schreibelmayr and Martina Mara","Computers in Human Behavior: Artificial Humans","2025"
"10.1371/journal.pone.0298037","Putting a human in the loop: Increasing uptake, but decreasing accuracy of automated decision-making","Sele, Daniela AND Chugunova, Marina","PLOS ONE","2024"
"Sele2024","Putting a human in the loop: Increasing uptake, but decreasing accuracy of automated decision-making","Sele, Daniela AND Chugunova, Marina","PLOS ONE","2024"
"Ning2024","How transparency affects algorithmic advice utilization: The mediating roles of trusting beliefs","Xianzhang Ning and Yaobin Lu and Weimo Li and Sumeet Gupta","Decision Support Systems","2024"
"Fink2024","Let me decide: Increasing user autonomy increases recommendation acceptance","Lior Fink and Leorre Newman and Uriel Haran","Computers in Human Behavior","2024"
"Klingbeil2024","Trust and reliance on AI — An experimental study on the extent and costs of overreliance on AI","Artur Klingbeil and Cassandra Grützner and Philipp Schreck","Computers in Human Behavior","2024"
"Hu2024","Too much light blinds: The transparency-resistance paradox in algorithmic management","Peng Hu and Yu Zeng and Dong Wang and Han Teng","Computers in Human Behavior","2024"
